arm,seed,step,reward_mean,reward_std,trainable_tokens,masked_response_tokens,selected_mass,masked_mass,audit_calls,calibration_blocks,update_blocks,valid_trajectories,total_trajectories,threshold
care,3101,0,0.0,0.0,420.0,1481.0,420,1481,300,10,10,20,20,0.6
care,3102,0,0.0,0.0,477.0,1413.0,477,1413,300,10,10,20,20,0.6
care,3103,0,0.0,0.0,437.0,1421.0,437,1421,300,10,10,20,20,0.6
uncalibrated,3101,0,0.0,0.0,800.0,1101.0,800,1101,300,10,10,20,20,0.6
uncalibrated,3102,0,0.0,0.0,797.0,1093.0,797,1093,300,10,10,20,20,0.6
uncalibrated,3103,0,0.0,0.0,797.0,1061.0,797,1061,300,10,10,20,20,0.6
